language_no	language_ru	language_en	contributor_ru	contributor_en	glottocode	data_collection_year	initial_release_date	last_release_date	macroarea	family (WALS)	genus (WALS)	latitude	longitude	contact_language	coding responsibility	payment	year when the language is mentioned as newly added in the yearly grant reports	markers.xlsx
1	английский	English	Наталья Николаевна Логвинова	Natalia Logvinova	stan1293	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Germanic	53	-1	Russian	Natalia Logvinova	Paid in 2021	2021	yes
2	японский	Japanese	Артемий Андреевич Кузнецов	Artemii Kuznetsov	nucl1643	2021	December 1, 2022	February 1, 2023	East and Southeast Asia	Japanese	Japanese	37	140	Russian, English	Elizaveta Zabelina	Paid in 2021	2021	yes
3	русский	Russian	Сергей Сергеевич Сай	Sergey Say	russ1263	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	56	38	English	Sergey Say	Paid in 2021	2021	yes
4	французский	French	Елена Евгеньевна Корди, Елизавета Александровна Забелина	Elena Kordi, Elizaveta Zabelina	stan1290	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Romance	48	2	Russian	Elizaveta Zabelina	Paid in 2021	2021	yes
5	каталанский	Catalan	Татьяна Владимировна Репнина	Tatiana Repnina	stan1289	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Romance	41.75	2	English	Elizaveta Zabelina	Paid in 2021	2021	yes
6	ассирийский новоарамейский	Assyrian Neo-Aramaic	Наталья Николаевна Логвинова	Natalia Logvinova	assy1241 	2021	December 1, 2022	December 1, 2022	Europe	Afro-Asiatic	Semitic	44.85	40.85	Russian	Natalia Logvinova	Paid in 2021	2021	yes
7	литовский	Lithuanian	Эмма Генюшене	Emma Geniušienė	lith1251	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Baltic	55	24	Russian, English	Elizaveta Zabelina	Paid in 2021	2021	yes
8	гуро	Guro	Ольга Васильевна Кузнецова	Olga Kuznetsova	guro1248	2021	December 1, 2022	December 1, 2022	Africa	Mande	Eastern Mande	7	-6	French	Natalia Logvinova	Paid in 2021	2021	yes
9	телугу	Telugu	Елизавета Александровна Забелина	Elizaveta Zabelina	telu1262	2021	December 1, 2022	December 1, 2022	South Asia	Dravidian	South-Central Dravidian	16	79	English	Elizaveta Zabelina	Paid in 2021	2021	yes
10	белорусский	Belarusian	Наталья Михайловна Заика	Natalia Zaika	bela1254	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	54	28	Russian	Natalia Logvinova	Paid in 2021	2021	yes
11	чувашский (малокарачкинский диалект)	Chuvash (Maloe Karachkino)	Наталья Михайловна Заика	Natalia Zaika	viry1239	2021	December 1, 2022	December 1, 2022	Europe	Altaic	Turkic	56.09	46.45	Russian	Natalia Logvinova	Paid in 2021	2021	yes
12	шугнанский	Shughni	Роман Витальевич Ронько	Roman Ronko	shug1248	2021	December 5, 2022	December 5, 2022	North and Central Asia	Indo-European	Iranian	38.17	71.50	Russian	Elizaveta Zabelina	Paid in 2021	2022	yes
13	арабский	Arabic	Рамазан Гамидович Мамедщахов	Ramazan Mamedshakhov	arab1395	2021	December 1, 2022	December 1, 2022	West Asia and the Caucasus	Afro-Asiatic	Semitic	25	42	Russian	Natalia Logvinova	Paid in 2021	2021	yes
14	кхмерский	Khmer	Сергей Юрьевич Дмитренко	Sergey Dmitrenko	cent1989	2021	December 1, 2022	December 1, 2022	East and Southeast Asia	Austro-Asiatic	Khmer	12.5	105	Khmer	Elizaveta Zabelina	Paid in 2021	2021	yes
15	урду	Urdu	Елизавета Александровна Забелина	Elizaveta Zabelina	urdu1245	2021	December 1, 2022	December 1, 2022	South Asia	Indo-European	Indic	25	67	English	Elizaveta Zabelina	Paid in 2021	2021	yes
16	удмуртский (южный говор)	Udmurt (South)	Мария Олеговна Черемисинова, Елизавета Александровна Забелина	Maria Cheremisinova, Elizaveta Zabelina	sout2681	2021	December 1, 2022	December 1, 2022	Europe	Uralic	Permic	57.5	52.5	Russian	Elizaveta Zabelina	Paid in 2021	2021	yes
17	словенский	Slovenian	Сергей Сергеевич Сай	Sergey Say	slov1268	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	46	15	English	Sergey Say	Paid in 2021	2021	yes
18	шведский	Swedish	Варвара Петровна Шувалова	Varvara Shuvalova	swed1254	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Germanic	60	15	Russian	Sergey Say	Paid in 2021	2022	yes
19	лезгинский	Lezgian	Рамазан Гамидович Мамедщахов	Ramazan Mamedshakhov	lezg1247	2021	December 1, 2022	December 1, 2022	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.67	47.83	Russian	Natalia Logvinova	Paid in 2021	2021	yes
20	латышский	Latvian	Анна Дмитриевна Даугавет	Anna Daugavet	latv1249	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Baltic	57	24	Russian	Sergey Say	Paid in 2021	2022	yes
21	украинский	Ukrainian	Наталья Михайловна Заика	Natalia Zaika	ukra1253	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	49	33	Russian	Elizaveta Zabelina	Paid in 2022 (contribution in June 2022, coding in December)	2022	yes
22	немецкий	German	Дарья Алексеевна Алфимова	Daria Alfimova	stan1295	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Germanic	52	10	English	Natalia Logvinova	Paid in June 2022	2022	yes
23	итальянский	Italian	Кьяра Наккарато 	Chiara Naccarato	ital1282	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Romance	43	12	English	Natalia Logvinova	Paid in June 2022	2022	yes
24	польский	Polish	Сергей Сергеевич Сай	Sergey Say	poli1260	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	52	20	English	Sergey Say	Paid in 2022	2022	yes
25	испанский	Spanish	Татьяна Владимировна Репнина	Tatiana Repnina	stan1288	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Romance	40	-4	Russian	Natalia Logvinova	Paid in 2022 (with a small extra payment for the contributor)	2022	yes
26	албанский	Albanian	Мария Вячеславовна Гвоздкова	Maria Gvozdkova	alba1267	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Albanian	41	20	English	Sergey Say	Paid in 2022 (contribution in June 2022, coding in December)	2022	yes
27	восточноармянский	Armenian (Eastern)	Диана Гагиковна Микаелян, Максим Леонидович Федотов	Diana Mikaelian, Maksim Fedotov	nucl1235	2022	December 21, 2022	December 21, 2022	West Asia and the Caucasus	Indo-European	Armenian	40	45	Russian	Elizaveta Zabelina	Paid in 2022	2022	yes
28	баскский	Basque	Наталья Михайловна Заика	Natalia Zaika	basq1248	2022	December 1, 2022	December 1, 2022	Europe	Basque	Basque	43	-3	English	Elizaveta Zabelina	Paid in 2022	2022	yes
29	сербский	Serbian	Дарья Александровна Рыжова, Милька Станкович	Daria Ryzhova, Miljka Stanković	serb1264	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	44.32	21.92	Russian	Natalia Logvinova	Paid in 2022	2022	yes
30	карельский	Karelian	Ирина Михайловна Горбунова, Ева Егоровна Полякова, Полина Юлиевна Сметкина	Irene Gorbunova, Eva Poliakova, Polina Smetkina	ludi1246	2022	December 1, 2022	December 1, 2022	Europe	Uralic	Finnic	64	32	Russian	Natalia Logvinova	Paid in 2022	2022	yes
31	казахский	Kazakh	Анастасия Жук	Anastasia Zhuk	kaza1248 	2022	February 13, 2023	February 13, 2023	North and Central Asia	Altaic	Turkic	50	70	Russian	Natalia Logvinova	Paid in 2022	2022	yes
32	узбекский	Uzbek	Анастасия Жук	Anastasia Zhuk		2022			North and Central Asia	Altaic	Turkic	40.67	66.5	Russian	Elizaveta Zabelina	Paid in 2022	2022	
33	чаплинский эскимосский	Yupik (Siberian)	Анастасия Борисовна Панова	Anastasia Panova	cent2128	2022	December 1, 2022	December 1, 2022	North and Central Asia	Eskimo-Aleut	Eskimo	64.5	-172.86	Russian	Natalia Logvinova	Paid in 2022	2022	yes
34	индонезийский	Indonesian (Standard)	Иван Валерьевич Неткачев	Ivan Netkachev	indo1316 	2022	December 1, 2022	December 1, 2022	Papunesia	Austronesian	Malayo-Sumbawan	-7.33	109.72	English	Natalia Logvinova	Paid in 2022 (contribution in June 2022, coding in December)	2022	yes
35	норвежский (букмол)	Norwegian (Bokmål)	Ольга Васильевна Кузнецова	Olga Kuznetsova	norw1258	2022	February 1, 2023	February 13, 2023	Europe	Indo-European	Germanic	61	8	English	Natalia Logvinova	Paid in 2022	2022	yes
36	севернохантыйский	Khanty (Northern)	Анастасия Анатольевна Дмитриева	Anastasia Dmitrieva	nort3264	2022	January 10, 2023	January 10, 2023	Europe	Uralic	Ugric	65	65	Russian	Elizaveta Zabelina	Paid in 2022	2022	yes
37	китайский	Chinese (Mandarin)	Алевтина Анатольевна Уткина	Alevtina Utkina	mand1415	2022	August 10, 2023	August 10, 2023	East and Southeast Asia	Sino-Tibetan	Chinese	34	110	English	Elizaveta Zabelina	Paid in 2022	2022	yes
38	мокшанский	Moksha	Светлана Юрьевна Толдова	Svetlana Toldova	moks1248	2022	March 19, 2025	March 19, 2025	Europe	Uralic	Mordvin	54	44	Russian	Natalia Logvinova	Paid in 2022	no	yes
39	тайский	Thai	Сергей Юрьевич Дмитренко	Sergey Dmitrenko		2022			East and Southeast Asia	Tai-Kadai	Kam-Tai	16	101		Elizaveta Zabelina	Paid in 2022	no	
40	хваршинский	Khwarshi	Ирина Михайловна Горбунова, Григорий Олегович Сибилев	Irene Gorbunova, Grigorij Sibiljof	khva1239	2022	September 18, 2024	September 18, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Avar-Andic-Tsezic	42.25	46.17	Russian	Natalia Logvinova	Paid in 2022	no	yes
41	филипино	Filipino	Екатерина Александровна Бакланова	Ekaterina Baklanova	fili1244	2023	December 18, 2023	December 18, 2023	East and Southeast Asia	Austronesian	Greater Central Philippine	12.27	123.46	English	Elizaveta Zabelina	Paid in 2023	no	yes
42	адыгейский	Adyghe	Петр Михайлович Аркадьев, Ирина Михайловна Багирокова	Peter Arkadiev, Irina Bagirokova	adyg1241	2023	September 18, 2024	September 18, 2024	West Asia and the Caucasus	Northwest Caucasian	Northwest Caucasian	45.1	40	Russian	Natalia Logvinova	Paid in 2024	no	yes
43	кумыкский	Kumyk	Наталья Николаевна Логвинова	Natalia Logvinova	kumy1244	2023	August 12, 2023	August 12, 2023	West Asia and the Caucasus	Altaic	Turkic	43	47	Russian	Natalia Logvinova	Paid in 2023	no	yes
44	эрзянский	Erzya	Софья Алексеевна Шумилова 	Sophia Shumilova	erzy1239	2023	August 12, 2023	August 12, 2023	Europe	Uralic	Mordvin	53	45	Russian	Natalia Logvinova	Contribution paid in 2023	no	yes
