language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
42	Adyghe	1	main	n.a.	platəkʷə-ẑəje-r nepsə-m ə-ʁe-wəc̣ənə-ʁ	handkerchief-DIM-ABS tear-OBL 3SG.ERG-CAUS-dampen-PST	Tears wet the handkerchief.	платок-DIM-ABS слеза-OBL 3SG.ERG-CAUS-отсыревать-PST	Слёзы намочили платок.	This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	
42	Adyghe	1	alternate	paje	nepsə-m paje platəkʷə-ẑəje-r c̣əne χʷə-ʁe	tear-OBL because_of handkerchief-DIM-ABS wet become-PST	The handkerchief is wet from tears.	слеза-OBL ради платок-DIM-ABS мокрый стать-PST	Платок намок от слез.		
42	Adyghe	2	alternate	qaxecew	qʷətame-r jə-həλa.ʁe qə-xe-č̣ʼ-ew ze-pə-č̣ʼə-č̣ʼə-ʁ	branch-ABS POSS-weight CSL-LOC-go_out-ADV REC.IO-LOC-break-ELAT-PST	The branch broke from the weight.	ветка-ABS POSS-тяжесть CSL-LOC-выходить-ADV REC.IO-LOC-ломать-ELAT-PST	Ветка сломалась от тяжести.		
42	Adyghe	2	alternate	paje	qʷətame-r jə-həλa.ʁe paje ze-pə-č̣ʼə-č̣ʼə-ʁ	branch-ABS POSS-weight because_of REC.IO-LOC-break-ELAT-PST	The branch broke from the weight.	ветка-ABS POSS-тяжесть ради REC.IO-LOC-ломать-ELAT-PST	Ветка сломалась от тяжести.		
42	Adyghe	2	alternate	qaxecace	qʷətame-r jə-həλa.ʁe qə-xe-č̣ʼə-č̣ʼe ze-pə-č̣ʼə-č̣ʼə-ʁ	branch-ABS POSS-weight CSL-LOC-go_out-INS REC.IO-LOC-break-ELAT-PST	The branch broke from the weight.	ветка-ABS POSS-тяжесть CSL-LOC-выходить-INS REC.IO-LOC-ломать-ELAT-PST	Ветка сломалась от тяжести.		
42	Adyghe	2	main	n.a.	qʷətame-r zere-həλe-m paje ze-pə-č̣ʼə-č̣ʼə-ʁ	branch-ABS REL.FCT-heavy-OBL because_of REC.IO-LOC-break-ELAT-PST	The branch broke because it was too heavy.	ветка-ABS REL.FCT-тяжёлый-OBL ради REC.IO-LOC-ломать-ELAT-PST	Ветка была такой тяжелой, что сломалась.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
42	Adyghe	2	alternate	n.a.	qʷətame-r həλe-m paje ze-pə-č̣ʼə-č̣ʼə-ʁ	branch-ABS heavy-OBL because_of REC.IO-LOC-break-ELAT-PST	The branch [was] so heavy that it broke	ветка-ABS тяжёлый-OBL ради REC.IO-LOC-ломать-ELAT-PST	Ветка [была] такая тяжелая, что сломалась	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
42	Adyghe	2	alternate	n.a.	qʷətame-r həλe-m jə-ṣ̂ʷaʁe-č̣ʼe ze-pə-č̣ʼə-č̣ʼə-ʁ	branch-ABS heavy-OBL POSS-benefit-INS REC.IO-LOC-break-ELAT-PST	The branch [was] so heavy that it broke	ветка-ABS тяжёлый-OBL POSS-польза-INS REC.IO-LOC-ломать-ELAT-PST	Ветка [была] такая тяжелая, что сломалась	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
42	Adyghe	2	alternate	n.a.	qʷətame-r zere-həλe-m jə-jaʁe-č̣ʼe ze-pə-č̣ʼə-č̣ʼə-ʁ	branch-ABS REL.FCT-heavy POSS-evil-INS REC.IO-LOC-break-ELAT-PST	The branch broke because it was heavy.	ветка-ABS REL.FCT-тяжёлый POSS-зло-INS REC.IO-LOC-ломаться-ELAT-PST	Ветка сломалась от того, что была тяжелой.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
42	Adyghe	2	alternate	n.a.	qʷətame-r zere-həλe-m jə-zerar-č̣ʼe ze-pə-č̣ʼə-č̣ʼə-ʁ	branch-ABS REL.FCT-heavy POSS-harm-INS REC.IO-LOC-break-ELAT-PST	The branch broke because it was heavy.	ветка-ABS REL.FCT-тяжёлый POSS-вред-INS REC.IO-LOC-ломаться-ELAT-PST	Ветка сломалась от того, что была тяжелой.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
42	Adyghe	3	alternate	n.a.	bzəλfəʁe-r ʔʷəʁʷe-m j-e-ʁa-pske	smoke-OBL woman-ABS 3SG.ERG-DYN-CAUS-cough	The smoke makes the woman cough.	дым-OBL женщина-ABS 3SG.ERG-DYN-CAUS-кашлять	Дым заставляет женщину кашлять.	This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	
42	Adyghe	3	alternate	n.a.	bzəλfəʁe-r zə-č̣ʼa-pske-re-r ʔʷəʁʷe-r arə	woman-ABS REL.IO-RSN-cough-DYN-ABS smoke-ABS COP	What makes a woman cough is smoke.	женщина-ABS REL.IO-RSN-кашлять-DYN-ABS дым-ABS COP	То, из-за чего кашляет женщина, — это дым.	This translation is not included in the database because the expression corresponding to the causing event is not a syntactic dependent of the expression corresponding to the caused event. 	
