language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
5	Catalan	1	main	de	El mocador es va amar-ar de llàgrim-es.	DEF.SG.M handkerchief(M).SG REFL go.PRS.3SG soak-INF from tear(F)-PL	The handkerchief got wet from tears.	DEF.SG.M платок(M).SG REFL идти.PRS.3SG мокнуть-INF от слеза(F)-PL	Платок намок от слез. 		
5	Catalan	2	main	per	La branc-a es va trenc-ar pel pes.	DEF.SG.F branch(F)-SG REFL go.PRS.3SG break-INF for.DEF.SG.M weight(M).SG	The branch broke because of the weight.	DEF.SG.F ветка(F)-SG REFL идти.PRS.3SG ломать-INF из-за.DEF.SG.M вес(M).SG	Ветка сломалась от тяжести.		
5	Catalan	3	main	a_causa_de	La don-a estosseg-a a caus-a del fum.	DEF.SG.F woman(F)-SG cough-PRS.3SG to cause(F)-SG from.DEF.SG.M smoke(M).SG	The woman coughs because of the smoke.	DEF.SG.F женщина(F)-SG кашлять-PRS.3SG от причина(F)-SG в.DEF.SG.M дым(M).SG	Женщина кашляет от дыма.		
5	Catalan	4	main	n.a.	La foscor no ens deix-a veure la cost-a.	DEF.SG.F darkness(F).SG NEG 1PL.DO leave-PRS.3SG see.INF DEF.SG.F coast(F)-SG	The darkness doesn't let us see the coast.	DEF.SG.F темнота(F).SG NEG 1PL.IO позволять-PRS.3SG видеть.INF DEF.SG.F берег(F)-SG	Темнота нам не позволяет увидеть берег.	This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	
5	Catalan	5	main	per	Van deten-ir l' home per error.	go.PRS.3PL detain-INF DEF.SG.M man(M).SG for mistake(M).SG	The man was arrested by mistake.	идти.PRS.3PL арестовать-INF DEF.SG.M мужчина(M).SG из-за ошибка(M).SG	Мужчину арестовали по ошибке. 		
5	Catalan	6	main	n.a.	El vent va fer caure l' arbre.	DEF.SG.M wind(M).SG go.PRS.3SG do.INF fall.INF DEF.SG.M tree(M).SG	The wind made the tree fall.	DEF.SG.M ветер(M).SG идти.PRS.3SG делать.INF падать.INF DEF.SG.M дерево(M).SG	Ветер заставил упасть дерево.	This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	
5	Catalan	7	main	de	L' home va mor-ir d' un curtcircuit.	DEF.SG.M man(M).SG go.PRS.3SG die-INF from INDF.SG.M short_circuit(M).SG	The man died from electric shock.	DEF.SG.M мужчина(M).SG идти.PRS.3SG умереть-INF от INDF.SG.M удар_тока(M).SG	Мужчина погиб от удара тока.		
5	Catalan	8	main	per	La don-a es va llev-ar pel soroll.	DEF.SG.F woman(F)-SG REFL go.PRS.3SG get_up-INF for.DEF.SG.M noise(M).SG	The woman woke up from the noise.	DEF.SG.F женщина(F)-SG REFL идти.PRS.3SG проснуться-INF из-за.DEF.SG.M звук(M).SG	Женщина проснулась от шума.		
5	Catalan	9	main	degut_a	L' home té mal de cap degut a la cerves-a.	DEF.SG.M man(M).SG have.PRS.3SG pain(M).SG from head(M).SG be_due.PTCP.SG.M to DEF.SG.F beer(F)-SG	The man has a headache because of the beer.	DEF.SG.M мужчина(M).SG иметь.PRS.3SG боль(M).SG от голова(M).SG быть_должным.PTCP.SG.M в DEF.SG.F пиво(F)-SG	У мужчины болит голова от пива.		
5	Catalan	10	main	de	La don-a re-ia del gos.	DEF.SG.F woman(F)-SG laugh-IPFV.3SG from.DEF.SG.M dog(M).SG	The woman was laughing because of the puppy. 	DEF.SG.F женщина(F)-SG смеяться-IPFV.3SG от.DEF.SG.M собака(M).SG	Женщина рассмеялась из-за щенка.		
