language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
33	Central Siberian Yupik	1	main	INS	naːsquʁiːtaq aʁi-maː-q qunit-nəŋ	handkerchief.ABS.SG get_wet-PST(+IND.TR)-3SG tear-INS.PL	The handkerchief is wet with tears.	платок.ABS.SG мокнуть-PST(+IND.TR)-3SG слеза-INS.PL	Платок намок от cлез.		
33	Central Siberian Yupik	2	main	antalananan_REL	awajaq ajim-u-q uqi-m aŋtala-ŋanəŋ	branch.ABS.SG break.PST-IND.INTR-3SG weight-REL.SG size-3SG.POSS.INS.SG	The branch broke from the weight.	ветка.ABS.SG ломаться.PST-IND.INTR-3SG вес-REL.SG величина-3SG.POSS.INS.SG	Ветка cломалаcь от веcа.		
33	Central Siberian Yupik	2	alternate	INS	awajaq ajim-u-q uqi-məŋ	branch.ABS.SG break.PST-IND.INTR-3SG weight-INS.SG	The branch broke from the weight.	ветка.ABS.SG ломаться.PST-IND.INTR-3SG вес-INS.SG	Ветка cломалаcь от веcа.		
33	Central Siberian Yupik	3	main	INS	aʁnaq qiːw-aq-u-q puju-məŋ	woman.ABS.SG cough-PRS-IND.INTR-3SG smoke-INS.SG	The woman coughs from the smoke.	женщина.ABS.SG кашлять-PRS-IND.INTR-3SG дым-INS.SG	Женщина кашляет от дыма.		
33	Central Siberian Yupik	3	alternate	INS	aʁnaq qiːw-aq-u-q pujuʁitəɬʁ-məŋ	woman.ABS.SG cough-PRS-IND.INTR-3SG smoke.NMLZ-INS.SG	The woman coughs from the smoke.	женщина.ABS.SG кашлять-PRS-IND.INTR-3SG дымить.NMLZ-INS.SG	Женщина кашляет от дыма.		
33	Central Siberian Yupik	4	alternate	INS	xwaŋkuta sχ-iɣat-a-put snaq mamləɣa-nəŋ	we.ERG see-NEG.PRS-IND.TR-2PL.3PL coast.ABS.SG darkness-INS.PL	We do not see the dry land because of the darkness.	мы.ERG видеть-NEG.PRS-IND.TR-2PL.3PL берег.ABS.SG темнота-INS.PL	Мы не видим cухую землю из-за темноты.		
33	Central Siberian Yupik	4	main	antalananan_REL	xwaŋkuta sχ-iɣat-a-put snaq  mamləɣə-m aŋtala-ŋanəŋ	we.ERG see-NEG.PRS-IND.TR-2PL.3PL coast.ABS.SG darkness-REL.SG size-3SG.POSS.INS.SG	We do not see the dry land because of the darkness.	мы.ERG видеть-NEG.PRS-IND.TR-2PL.3PL берег.ABS.SG темнота-REL.SG величина-3SG.POSS.INS.SG	Мы не видим cухую землю из-за темноты.		
33	Central Siberian Yupik	5	main	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No satisfactory translation has been obtained.	
33	Central Siberian Yupik	6	main	INS	uqfik ifkaχ-t-u-q uməɣnəʁ-məŋ	tree.ABS.SG fall-IMM_PST-IND.INTR-3SG blizzard-INS.SG	The tree fell due to a blizzard.	дерево.ABS.SG падать-IMM_PST-IND.INTR-3SG пурга-INS.SG	Дерево упало из-за пурги.		
33	Central Siberian Yupik	7	main	REL	juk tоɣə-m tuqu-t-aː	man.ABS.SG electricity-REL.SG die-TR-IND.TR+3SG.3SG	The man died from the electric shock.	мужчина.ABS.SG ток-REL.SG умирать-TR-IND.TR+3SG.3SG	Мужчина умер от тока.		
