language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
14	Khmer	1	main	daoj_sa	kɒnsaeŋ nih tɔtɯk cọk daoj1 saː2 tɯk3 phnɛ:k4 rɔbɒh niəŋ	handkerchief this be_wet drench DAOJ_SAː1,2 tear3,4 POSS young_girl	This handkerchief got soaked from her tears.	платок этот быть_мокрым промокнуть_насквозь DAOJ_SAː1,2 слеза3,4 POSS девушка 	Этот платок насквозь промок от ее слез.		Показатели причины prʊəh и maok-piːздесь невозможны.
14	Khmer	2	main	daoj_sa	mɛ:k chɤ: bak daoj1 saː2 tumŋʊən phlae rɔbɒh viə	branch tree break DAOJ_SAː1,2 weight fruit POSS 3	The branch broke from the weight of its fruit.	ветка дерево ломаться DAOJ_SAː1,2 вес плод POSS 3	Ветка сломалась из-за веса плодов на ней.		Можно употребить и другие показатели причины: prʊəh-tae (просто prʊəh информант употреблять не хочет) или maok-piː.
14	Khmer	2	alternate	maok_pi	mɛ:k chɤ: bak maok1 pi:2 tumŋʊən phlae rɔbɒh viə	branch tree break MAOK_PIː1,2 weight fruit POSS 3	The branch broke from the weight of its fruit.	ветка дерево ломаться MAOK_PIː1,2 вес плод POSS 3	Ветка сломалась из-за веса плодов на ней.		
14	Khmer	2	alternate	prueh_tae	mɛ:k chɤ: bak prʊəh1 tae2 tumŋʊən phlae rɔbɒh viə	branch tree break PRƱƏH_TAE1,2 weight fruit POSS 3	The branch broke from the weight of its fruit.	ветка дерево ломаться PRƱƏH_TAE1,2 вес плод POSS 3	Ветка сломалась из-за веса плодов на ней.		
14	Khmer	3	main	n.a.	niəŋ srɒk tɯk1 phnɛ:k2 daoj3 saː4 phsaeŋ coul knoŋ phnɛ:k rɔbɒh niəŋ	young_girl drip tear1,2 DAOJ_SAː3,4 smoke enter in eye POSS girl	She was crying because the smoke made her eyes tear.	девушка капать слеза1,2 DAOJ_SAː3,4 дым входить в глаз POSS девушка	Она плакала из-за того, что дым попал ей в глаза	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	Последний вариант нравится информанту больше всего. В нем возможна замена причинного показателя на prʊəh(-tae)или maok-piː.
14	Khmer	3	alternate	n.a.	niəŋ srɒk tɯk1 phnɛ:k2 prʊəh3 tae4 phsaeŋ coul knoŋ phnɛ:k rɔbɒh niəŋ	young_girl drip tear1,2 PRƱƏH_TAE3,4 smoke enter in eye POSS girl	She was crying because the smoke made her eyes tear.	девушка капать слеза1,2 PRƱƏH_TAE3,4 дым входить в глаз POSS девушка	Она плакала из-за того, что дым попал ей в глаза.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
14	Khmer	3	alternate	n.a.	niəŋ srɒk tɯk1 phnɛ:k2 maok3 pi:4 phsaeŋ coul knoŋ phnɛ:k rɔbɒh niəŋ	young_girl drip tear1,2 MAOK_PIː3,4 smoke enter in eye POSS girl	She was crying because the smoke made her eyes tear.	девушка капать слеза1,2 MAOK_PIː3,4 дым входить в глаз POSS девушка	Она плакала из-за того, что дым попал ей в глаза.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
14	Khmer	3	alternate	n.a.	niəŋ srɒk tɯk1 phnɛ:k2 daoj3 saː4 miən phsaeŋ	young_girl drip tear1,2 DAOJ_SAː3.4 have smoke	She was crying because there was smoke.	девушка капать слеза1,2 DAOJ_SAː3,4 иметься дым	Она плакала из-за дыма.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
14	Khmer	3	alternate	daoj_sa	niəŋ srɒk tɯk1 phnɛ:k2 daoj3 saː4 phsaeŋ	young_girl drip tear1,2 DAOJ_SAː3,4 smoke	She was crying because of the smoke.	девушка капать слеза1,2 DAOJ_SAː3,4 дым	Она плакала из-за дыма.		В целом информант согласился, что эта фраза приемлема, но все же он предпочел бы добавить глагол.
14	Khmer	4	main	n.a.	jɤːŋ mɤːl mɯn khɤːɲ mɔat tɔnle: daoj1 saː2 coh Ɂap 	1PL look NEG see bank river DAOJ_SAː1,2 get_down fog	We cannot see the river bank because the fog has settled.	1PL смотреть NEG видеть берег река DAOJ_SAː1,2 опускаться туман 	Мы не видим берега реки из-за тумана	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	В конструкциях с зависимой клаузой возможна замена причинного показателя на prʊəh(-tae)или maok-piː.
14	Khmer	4	alternate	n.a.	jɤːŋ mɤːl mɯn khɤːɲ mɔat tɔnle: prʊəh1 tae2 coh Ɂap 	1PL look NEG see bank river PRƱƏH_TAE1,2 get_down fog	We cannot see the river bank because the fog has settled.	1PL смотреть NEG видеть берег река PRƱƏH_TAE1,2 опускаться туман 	Мы не видим берега реки из-за тумана	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
14	Khmer	4	alternate	n.a.	jɤːŋ mɤːl mɯn khɤːɲ mɔat tɔnle: maok1 pi:2 coh Ɂap 	1PL look NEG see bank river MAOK_PIː1,2 get_down fog	We cannot see the river bank because the fog has settled.	1PL смотреть NEG видеть берег река MAOK_PIː1,2 опускаться туман 	Мы не видим берега реки из-за тумана.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
14	Khmer	4	alternate	daoj_sa	jɤːŋ mɤːl mɯn khɤːɲ mɔat tɔnle: daoj1 saː2 Ɂap	1PL look NEG see bank river DAOJ_SAː1,2 fog	We cannot see the river bank because of the fog.	1PL смотреть NEG видеть берег река DAOJ_SAː1,2 туман	Мы не видим берега реки из-за тумана.		Приемлемо, но глагол очень хочется добавить:
14	Khmer	5	main	daoj_sa	boʔrɒh nih trəw coap1 kuk2 daoj3 saː4 kɒmhoh rɔbɒh poulih	man this PASS put_in_prison1,2 DAOJ_SAː3,4 mistake POSS police	The man was put in prison by the mistake of the police.	мужчина этот PASS сажать_в_тюрьму1,2 DAOJ_SAː3,4 ошибка POSS полиция 	Этого мужчину посадили в тюрьму из-за ошибки полиции.		Это совершенно нормальная фраза. Если необходимо сохранить именно ту ситуацию, которая была в стимульном предложении, то придется употребить конструкцию с причинной клаузой:
14	Khmer	6	main	n.a.	daəm1 chɤ:2 nih rɔlʊm daoj3 saː4 khjɒl kɒntrak	tree1,2 this fall DAOJ_SAː3,4 wind pull_out	This tree fell because it was pulled out by the wind.	дерево1,2 этот падать DAOJ_SAː3,4 ветер вырывать	Это дерево упало, потому что его повалило сильным ветром.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	Информант предпочел бы биклаузальный вариант. Однако без глагола тоже можно. Замена причинного показателя не проходит.
14	Khmer	6	alternate	daoj_sa	daəm1 chɤ:2 nih rɔlʊm daoj3 saː4 khjɒl pjuh	tree1,2 this fall DAOJ_SAː3,4 wind tornado	This tree fell because of the wind storm.	дерево1,2 этот падать DAOJ_SAː3,4 ветер ураган	Это дерево упало из-за сильного ветра		
14	Khmer	7	main	daoj_sa	kɔat slap daoj1 saː2 krɔap3 pruəɲ4	3 die DAOJ_SAː1,2 arrow3,4	He died from an arrow.	3 умереть DAOJ_SAː1,2 стрела3,4	Он погиб от стрелы.		Совершенно нормальная фраза. Показатель причины заменить нельзя.
14	Khmer	8	main	n.a.	niəŋ phɲeak piː deːk daoj1 saː2 lɯː sou sɒmleːŋ khlaŋ	young_girl wake_up PREP sleep DAOJ_SAː1,2 hear sound sound strong	She woke up from the loud noise.	девушка проснуться PREP спать DAOJ_SAː1,2 слышать звук звук сильный	Она проснулась от громкого звука.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	Кажется, по-кхмерски нельзя сказать проснулся от шума или проснулся от взрыва. Нужен глагол слышать. Возможна замена причинного показателя на prʊəh(-tae)или maok-piː.
14	Khmer	8	alternate	n.a.	niəŋ phɲeak piː deːk prʊəh1 tae2 lɯː sou sɒmleːŋ khlaŋ	young_girl wake_up PREP sleep PRƱƏH_TAE1,2 hear sound sound strong	She woke up from the loud noise.	девушка проснуться PREP спать PRƱƏH_TAE1,2 слышать звук звук сильный	Она проснулась от громкого звука.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
14	Khmer	8	alternate	n.a.	niəŋ phɲeak piː deːk maok1 pi:2 lɯː sou sɒmleːŋ khlaŋ	young_girl wake_up PREP sleep MAOK_PIː1,2 hear sound sound strong	She woke up from the loud noise.	девушка проснуться PREP спать MAOK_PIː1,2 слышать звук звук сильный	Она проснулась от громкого звука.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
14	Khmer	9	main	daoj_sa	mɯt1 pheak2 khɲom chɯː kba:l daoj3 saː4 sra: biːjɛː	friend1,2 1SG ache head DAOJ_SAː3,4 alcohol beer	My friend has a headache from the beer.	друг1,2 1SG болеть голова DAOJ_SAː3,4 алкоголь пиво	У моего друга болит голова из-за пива		Информант поначалу не одобрил это предложение. Предлагал что-то добавить. Например, слово запах: голова болит от запаха пива. Потом все же сказал, что стимульное предложение было правильным.
14	Khmer	10	main	n.a.	niəŋ saəc daoj1 saː2 khɤːɲ koun chkae lẹːŋ	young_girl laugh DAOJ_SAː1,2 see child dog play	She laughed as she watched the puppy play.	девушка смеяться DAOJ_SAː1,2 видеть ребенок собака играть	Девушка засмеялась, потому что увидела, как играет щенок	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	Именная группа со значением причины тут невозможна. Только с клаузой. Возможна замена причинного показателя на prʊəh(-tae), но не на maok-piː.
14	Khmer	11	main	daoj_sa	jaːŋ1 təc2 mɔnuh 27 neak baːn slap daoj3 saː4 sraː	at_least1,2 person 27 CLF PRF die DAOJ_SAː3,4 alcohol	At least 27 people died because of the alcohol.	по_меньшей_мере1,2 человек 27 CLF PRF умереть DAOJ_SAː3,4 алкоголь	По меньшей мере 27 человек умерло из-за алкоголя​​​.		http://baykdang.com/2020/03/38714/ (01/06/2021)
14	Khmer	11	alternate	n.a.	pu: sok slap maok1 pi:2 pul phsət	uncle PN die MAOK_PIː1,2 poison mushroom	Uncle Sok died because of the toxic mushroom.	дядя PN умереть MAOK_PIː1,2 яд гриб	Дядя Сок умер от ядовитых грибов.	This translation is not included in the database because the noun phrase used in the nominal causal construction semantically deviates from the one intended by the stimulus sentence.	
14	Khmer	11	alternate	n.a.	mɔnuh 2 neak slap prʊəh pul trəj1 krɒpɔːt2	person 2 CLF die PRƱƏH poison toadfish1,2	Two people died because of the poisonous toadfish.	человек 2 CLF умереть PRƱƏH яд рыба-иглобрюх1,2	Два человека умерло от яда рыбы-иглобрюха.	This translation is not included in the database because the noun phrase used in the nominal causal construction semantically deviates from the one intended by the stimulus sentence.	https://www.postkhmer.com (03/06/2021)
