language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
40	Khwarshi	POSS_ATR	case	yes	no	no	no	no	no	no	
40	Khwarshi	gossal	adposition	yes	no	no	no	no	no	no	
40	Khwarshi	POSS_ABL	case	yes	no	no	no	no	yes	n.a.	n.a.
40	Khwarshi	POSS_DAT	case	no	yes	no	no	no	no	n.a.	
40	Khwarshi	POSS_TRNS	case	yes	no	yes	no	no	no	n.a.	
40	Khwarshi	sabalana	adposition	yes	no	no	no	no	no	no	
40	Khwarshi	SUPER	case	yes	yes	yes	no	no	no	n.a.	
40	Khwarshi	SUPER_ABL	case	yes	no	no	no	no	yes	yes	standard of comparison
40	Khwarshi	SUPER_ATR	case	yes	no	no	no	no	no	no	
40	Khwarshi	SUPER_roqana	adposition	yes	no	no	no	no	no	no	
40	Khwarshi	SUPER_sabalana	adposition	yes	no	no	no	no	no	no	
40	Khwarshi	SUPER_TRNS	case	yes	no	no	no	no	yes	n.a.	
40	Khwarshi	TRM	case	yes	yes	no	no	no	no	n.a.	
